date,mkt-rf,HmL,SmB,VmS
1962-01-31,-0.0373728419480361,-0.2247754551873622,-0.4108131826713243,2.1723599261029976
1962-02-28,0.0165960908291198,-0.0032406578484583,-0.0092116710482083,0.04627980754542613
1962-04-30,-0.0318963321185598,0.003064160210172,-0.0070332648501448,-0.2056465813644911
1962-05-31,-0.0745023114222061,0.0289834621659666,-0.0256872307940213,-0.26934884494720235
1962-07-31,0.0239754611685209,-0.154630532305426,-0.3149317011677387,-0.2890838944813113
1962-08-31,0.027245620761741,-0.0167025268241056,0.01506434650087,0.17458192750046164
1962-10-31,-0.0316565575521266,-0.0234607823712951,-0.0835874413648632,-0.17549177349422404
1962-11-30,0.0688933873925405,-0.0353242007293478,-0.0326408280858527,0.31626829091242287
1962-12-31,0.0426989580826563,-0.0273833058156494,-0.103535463155454,-0.12454599600928991
1963-01-31,0.0389827362793926,0.0179131509268406,0.071958278546955,0.30717833160781804
1963-02-28,0.0131036318116221,0.0129492092214845,0.0020413113834777,-0.043734960493632825
1963-04-30,0.0468733813856162,-0.0456715189954743,-0.0669642401115642,0.10465592761787466
1963-05-31,0.0199541159770886,0.0306788316237606,0.0073041443082933,0.12331164944321212
1963-07-31,-0.0149073715221832,0.0493848658977898,-0.0064618909134547,0.040402140676116846
1963-09-30,0.0261918314025999,-0.0237598054925772,0.0095543953907962,0.05495301635453389
1963-10-31,0.0022164165774327,-0.0553642610690592,-0.020631879727719,0.09659870190021232
1963-12-31,0.0212017509543922,-0.0296589637430254,-0.0896953813280415,-0.04593978236873055
1964-01-31,0.0305878909170451,0.0251641429494365,0.0516377790811462,0.18251211013706026
1964-03-31,0.0180632425267627,0.0338345666650021,0.0018212060044595,0.11998387441883812
1964-04-30,0.0143027391038341,0.0311492110714877,0.0203698903797549,0.06967316958829356
1964-06-30,-0.0062066283673239,-0.0198240576295324,-0.0175345931301574,0.016863324043603446
1964-07-31,0.0370016593239998,0.0274386169023844,0.0042939110670028,0.12478366184388529
1964-08-31,-0.0148168418535628,-0.0074238621224301,-0.0016630759481259,0.02485780461893806
1964-09-30,0.0170477014117622,-0.0074492343256652,-0.0271353329490509,0.17698557580519536
1964-11-30,0.0068010247794544,-0.0008735641107306,-0.0279640310165561,-0.015751720211747203
1964-12-31,-0.0174439417943681,-0.0838725244312177,-0.0536982911484529,-0.0705644470026304
1965-03-31,0.0008437402277003,-0.0272794396263237,0.0473467112265697,0.13659120657776086
1965-04-30,0.0128950655902314,0.0077164858140731,0.0081729936620425,0.1855134749434033
1965-06-30,-0.0470856662468947,-0.0489906121254033,-0.0411726084462533,-0.23666878383823436
1965-08-31,0.0184829319101681,-0.0557336079577948,-0.0197231410265829,0.15864727375422022
1965-09-30,0.0332858461437762,-0.0115634499282766,-0.0268052246796411,0.1402957336467142
1965-11-30,0.0080497131106129,-0.0223025215757542,0.0543362407083645,0.28545479829839265
1965-12-31,-0.0046152588388551,0.0247198401097441,0.0334570056158069,0.24101867697625246
1966-01-31,0.0170615436044217,-0.0185502541408367,0.0886097625234542,0.3044494221073605
1966-02-28,-0.0069693645996847,-0.0364620856678451,0.0585710139479417,0.24065032008673237
1966-03-31,-0.0412219944911468,-0.023439629631808,0.0289538493441203,0.10899506738203156
1966-05-31,-0.0527527469946519,-0.0194111021548948,-0.0438817228342692,-0.28150434858649287
1966-06-30,-0.0084886044890187,-0.0098672933288934,-0.0205702175334394,-0.014369493513752357
1966-08-31,-0.0606147722444215,-0.0052130502729579,-0.0540348034984921,-0.23611977631087075
1966-09-30,-0.0353552467127076,-0.0296442475690229,-0.0341865064651899,-0.07977570675598057
1966-10-31,-0.0090321279038392,-0.0420749637616493,-0.1196579072621583,-0.10002798508222278
1966-11-30,0.0499166778608039,-0.0738089948610995,-0.0181879794549732,0.23768254130562141
1967-01-31,0.0382045602021285,0.0192534741730152,0.1677910840273718,0.48468936532836143
1967-02-28,0.0343434420141301,-0.0109277931205252,0.0863971460220151,0.2698550482330111
1967-03-31,0.0232944163144136,-0.0553215940600763,-0.0119463821786064,0.28211826718349
1967-05-31,0.0177805588848304,-0.0025880258379793,0.0467938324510859,0.038905656774062936
1967-06-30,-0.0126139195824312,-0.0788531736158919,0.0940118730121138,0.3348848126369667
1967-07-31,0.0168508427374575,0.0515139609733548,0.0536926359444624,0.30760785548068964
1967-08-31,0.0160437681089385,-0.0073931227234178,0.0224554136035094,0.10040594713883402
1967-10-31,-0.001981872656044,-0.0349420868186724,0.043730512629281,0.038393259777189756
1967-11-30,-0.0312912200805896,-0.0281256021087723,-0.0412832356627619,0.03744955345726812
1968-01-31,-0.0029582352255992,0.0338362906896931,0.1438492731592452,0.21358863744065965
1968-02-29,-0.0450557708450823,-0.0098540687365619,-0.047881995978167,-0.18558581961287055
1968-04-30,0.0739165121091352,-0.0693700458316358,0.0483780019288791,0.37514901922840577
1968-05-31,0.0224595943356362,-0.0226760700956215,0.1200623751753104,0.2858731693014744
1968-09-30,0.0326312815488128,-0.017527087846872,0.0177268621124143,0.25300978788355116
1968-10-31,0.0235906768209237,-0.0261788980148709,-0.0350666755927682,0.013744614375000876
1968-12-31,0.0099588781235271,-0.0006413478068299,0.0663945118475327,0.16247102277365763
1969-01-31,-0.0418680815705987,-8.946717140537186e-07,-0.0049111761538007,0.0022395991112791848
1969-02-28,-0.0059859497454976,0.009576379926409,-0.0575689297677468,-0.2093371809840757
1969-04-30,0.0194707296286441,-0.0532165934093302,-0.0587168072606071,0.026743099389934036
1969-06-30,-0.0528557709987645,0.0099460921926732,-0.0560626444728979,-0.28743084809596514
